id,chart_template_id/id,code,reconcile,user_type_id/id,name
l10n_pl_openglobe.chart01010000,pl_chart_template,01-010-000,False,account.data_account_type_fixed_assets,Środki trwałe - Grunty własne i prawa wieczystego użytkowania gruntów
l10n_pl_openglobe.chart01020000,pl_chart_template,01-020-000,False,account.data_account_type_fixed_assets,"Środki trwałe - Budynki, lokale i obiekty inżynierii lądowej i wodnej"
l10n_pl_openglobe.chart01030000,pl_chart_template,01-030-000,False,account.data_account_type_fixed_assets,Środki trwałe - Urządzenia techniczne i maszyny
l10n_pl_openglobe.chart01040000,pl_chart_template,01-040-000,False,account.data_account_type_fixed_assets,Środki trwałe - Środki transportu
l10n_pl_openglobe.chart01050000,pl_chart_template,01-050-000,False,account.data_account_type_fixed_assets,Środki trwałe - Inne środki trwałe
l10n_pl_openglobe.chart02010000,pl_chart_template,02-010-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne - Koszty zakończonych prac rozwojowych
l10n_pl_openglobe.chart02020000,pl_chart_template,02-020-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne - Nabyta wartość firmy
l10n_pl_openglobe.chart02080000,pl_chart_template,02-080-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne - Inne wartości niematerialne i prawne
l10n_pl_openglobe.chart02090000,pl_chart_template,02-090-000,False,account.data_account_type_non_current_assets,Wartości niematerialne i prawne - Zaliczki na wartości niematerialne i prawne
l10n_pl_openglobe.chart03010100,pl_chart_template,03-010-100,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w jednostkach powiązanych - Udziały lub akcje
l10n_pl_openglobe.chart03010200,pl_chart_template,03-010-200,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w jednostkach powiązanych - Inne papiery wartościowe
l10n_pl_openglobe.chart03010300,pl_chart_template,03-010-300,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w jednostkach powiązanych - Udzielone pożyczki
l10n_pl_openglobe.chart03010400,pl_chart_template,03-010-400,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w jednostkach powiązanych - Inne długoterminowe aktywa finansowe
l10n_pl_openglobe.chart03020100,pl_chart_template,03-020-100,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w pozostałych jednostkach - Udziały lub akcje
l10n_pl_openglobe.chart03020200,pl_chart_template,03-020-200,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w pozostałych jednostkach - Inne papiery wartościowe
l10n_pl_openglobe.chart03020300,pl_chart_template,03-020-300,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w pozostałych jednostkach - Udzielone pożyczki
l10n_pl_openglobe.chart03020400,pl_chart_template,03-020-400,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - w pozostałych jednostkach - Inne długoterminowe aktywa finansowe
l10n_pl_openglobe.chart03050100,pl_chart_template,03-050-100,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - Odpisy aktualizujące długoterminowe aktywa finansowe - Udziały lub akcje
l10n_pl_openglobe.chart03050200,pl_chart_template,03-050-200,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - Odpisy aktualizujące długoterminowe aktywa finansowe - Inne papiery wartościowe
l10n_pl_openglobe.chart03050300,pl_chart_template,03-050-300,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - Odpisy aktualizujące długoterminowe aktywa finansowe - Udzielone pożyczki
l10n_pl_openglobe.chart03050400,pl_chart_template,03-050-400,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - Odpisy aktualizujące długoterminowe aktywa finansowe - Inne długoterminowe aktywa finansowe
l10n_pl_openglobe.chart03090100,pl_chart_template,03-090-100,False,account.data_account_type_non_current_assets,Długoterminowe aktywa finansowe - Inne inwestycje długoterminowe - Inne rodzaje długoterminowych aktywów finansowych
l10n_pl_openglobe.chart04010000,pl_chart_template,04-010-000,False,account.data_account_type_non_current_assets,Inwestycje w nieruchomości i prawa - Nieruchomości
l10n_pl_openglobe.chart04020000,pl_chart_template,04-020-000,False,account.data_account_type_non_current_assets,Inwestycje w nieruchomości i prawa - Wartości niematerialne i prawne
l10n_pl_openglobe.chart05010000,pl_chart_template,05-010-000,False,account.data_account_type_non_current_assets,Długoterminowe rozliczenia międzyokresowe - Aktywa z tytułu odroczonego podatku dochodowego
l10n_pl_openglobe.chart05020000,pl_chart_template,05-020-000,False,account.data_account_type_non_current_assets,Długoterminowe rozliczenia międzyokresowe - Inne rozliczenia międzyokresowe
l10n_pl_openglobe.chart06010000,pl_chart_template,06-010-000,False,account.data_account_type_non_current_assets,Należności długoterminowe - Od jednostek powiązanych
l10n_pl_openglobe.chart06020000,pl_chart_template,06-020-000,False,account.data_account_type_non_current_assets,Należności długoterminowe - Od pozostałych jednostek
l10n_pl_openglobe.chart07010100,pl_chart_template,07-010-100,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe wartości gruntów i prawa wieczystego użytkowania gruntów
l10n_pl_openglobe.chart07010200,pl_chart_template,07-010-200,False,account.data_account_type_depreciation,"Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe budynków, lokali i obiektów inżynierii lądowej i wodnej"
l10n_pl_openglobe.chart07010300,pl_chart_template,07-010-300,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe urządzeń technicznych i maszyn
l10n_pl_openglobe.chart07010400,pl_chart_template,07-010-400,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe środków transportu
l10n_pl_openglobe.chart07010500,pl_chart_template,07-010-500,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe innych środków trwałych
l10n_pl_openglobe.chart07010900,pl_chart_template,07-010-900,False,account.data_account_type_depreciation,Odpisy umorzeniowe środków trwałych - Odpisy umorzeniowe ulepszeń obcych środków trwałych
l10n_pl_openglobe.chart07020100,pl_chart_template,07-020-100,False,account.data_account_type_depreciation,Odpisy umorzeniowe wartości niematerialnych i prawnych - Odpisy umorzeniowe zakończonych prac rozwojowych
l10n_pl_openglobe.chart07020200,pl_chart_template,07-020-200,False,account.data_account_type_depreciation,Odpisy umorzeniowe wartości niematerialnych i prawnych - Odpisy umorzeniowe wartości firmy
l10n_pl_openglobe.chart07020300,pl_chart_template,07-020-300,False,account.data_account_type_depreciation,Odpisy umorzeniowe wartości niematerialnych i prawnych - Odpisy umorzeniowe innych wartości niematerialnych i prawnych
l10n_pl_openglobe.chart07030100,pl_chart_template,07-030-100,False,account.data_account_type_depreciation,Odpisy umorzeniowe inwestycji w nieruchomości i prawa - Odpisy umorzeniowe inwestycji w nieruchomości
